Student_ID,College,Major,Class_Year,GPA,Credits_Attempted,Credits_Earned
LU100001,College of Business,Accounting,Senior,3.41,105,99
LU100002,College of Education,Elementary Education,Junior,3.55,73,62
LU100003,P.C. Rossin College of Engineering,Electrical Engineering,Junior,3.6,89,81
LU100004,College of Health,Nursing,Senior,3.44,102,98
LU100005,P.C. Rossin College of Engineering,Computer Engineering,Sophomore,3.9,52,44
LU100006,College of Health,Health Science,Sophomore,4.0,53,49
LU100007,College of Business,Management,Junior,4.0,74,69
LU100008,College of Education,Secondary Education,Junior,4.0,74,63
LU100009,P.C. Rossin College of Engineering,Chemical Engineering,Graduate,3.97,21,18
LU100010,College of Arts and Sciences,Psychology,Sophomore,2.41,48,45
LU100011,College of Business,Business Analytics,Senior,3.11,116,105
LU100012,College of Education,Elementary Education,Senior,3.34,128,123
LU100013,College of Business,Finance,Senior,3.54,104,91
LU100014,College of Education,Special Education,Sophomore,2.72,57,51
LU100015,College of Health,Public Health,Sophomore,3.21,50,48
LU100016,College of Health,Community Health,Sophomore,3.84,46,42
LU100017,College of Business,Economics,First Year,3.75,25,23
LU100018,College of Health,Community Health,Junior,3.7,86,79
LU100019,College of Education,Elementary Education,Senior,4.0,126,112
LU100020,College of Arts and Sciences,Chemistry,Sophomore,3.89,47,43
LU100021,College of Arts and Sciences,History,Senior,3.21,122,109
LU100022,College of Education,Special Education,First Year,3.09,23,22
LU100023,College of Education,Special Education,Graduate,3.32,12,11
LU100024,College of Arts and Sciences,English,First Year,2.7,30,29
LU100025,College of Business,Management,Junior,3.99,76,66
LU100026,College of Health,Public Health,Sophomore,3.56,55,54
LU100027,College of Education,Special Education,Senior,3.31,123,116
LU100028,College of Health,Community Health,First Year,2.51,19,16
LU100029,College of Business,Business Analytics,Junior,3.25,73,64
LU100030,College of Business,Economics,Sophomore,3.17,58,51
LU100031,College of Health,Public Health,Junior,3.14,90,82
LU100032,College of Health,Community Health,First Year,1.88,15,14
LU100033,College of Arts and Sciences,Political Science,Sophomore,3.31,45,38
LU100034,College of Arts and Sciences,Chemistry,Sophomore,3.07,48,44
LU100035,P.C. Rossin College of Engineering,Computer Engineering,First Year,1.91,14,12
LU100036,College of Education,Elementary Education,First Year,3.38,29,28
LU100037,College of Business,Economics,Senior,3.63,108,105
LU100038,College of Business,Finance,Sophomore,3.7,54,48
LU100039,College of Health,Nursing,Junior,4.0,89,84
LU100040,College of Health,Public Health,First Year,2.58,18,17
LU100041,College of Education,Special Education,Junior,3.3,90,82
LU100042,College of Education,Elementary Education,First Year,2.89,28,24
LU100043,P.C. Rossin College of Engineering,Mechanical Engineering,Junior,3.15,75,74
LU100044,College of Education,Elementary Education,Junior,3.01,73,68
LU100045,College of Health,Nursing,Graduate,3.73,16,14
LU100046,P.C. Rossin College of Engineering,Chemical Engineering,Junior,3.98,74,63
LU100047,College of Education,Special Education,Graduate,3.79,17,14
LU100048,College of Arts and Sciences,Chemistry,Graduate,3.69,20,17
LU100049,College of Health,Nursing,Junior,3.95,72,68
LU100050,College of Education,Secondary Education,Graduate,3.56,12,11
LU100051,P.C. Rossin College of Engineering,Chemical Engineering,First Year,3.7,20,17
LU100052,P.C. Rossin College of Engineering,Industrial Engineering,First Year,3.57,20,18
LU100053,College of Arts and Sciences,Biology,First Year,2.67,12,10
LU100054,P.C. Rossin College of Engineering,Chemical Engineering,First Year,3.32,26,24
LU100055,College of Health,Health Science,First Year,3.97,16,14
LU100056,College of Arts and Sciences,Philosophy,Junior,3.07,85,73
LU100057,College of Arts and Sciences,Physics,Graduate,3.77,20,17
LU100058,P.C. Rossin College of Engineering,Mechanical Engineering,Sophomore,2.25,59,57
LU100059,College of Health,Public Health,Graduate,3.61,34,33
LU100060,College of Health,Health Science,First Year,3.46,22,21
LU100061,College of Health,Public Health,Sophomore,3.26,43,42
LU100062,P.C. Rossin College of Engineering,Electrical Engineering,Senior,3.21,116,104
LU100063,P.C. Rossin College of Engineering,Electrical Engineering,First Year,3.29,14,13
LU100064,College of Arts and Sciences,Physics,Senior,3.73,114,108
LU100065,College of Education,Secondary Education,Graduate,4.0,14,13
LU100066,College of Arts and Sciences,Biology,First Year,4.0,25,22
LU100067,College of Arts and Sciences,Political Science,Junior,2.86,90,79
LU100068,College of Business,Management,Junior,3.27,88,87
LU100069,College of Education,Special Education,Senior,3.37,113,103
LU100070,College of Arts and Sciences,Philosophy,Sophomore,2.46,45,43
LU100071,College of Arts and Sciences,History,Sophomore,2.77,51,47
LU100072,P.C. Rossin College of Engineering,Computer Engineering,Senior,3.62,114,108
LU100073,P.C. Rossin College of Engineering,Chemical Engineering,Sophomore,3.41,48,43
LU100074,College of Education,Special Education,Senior,3.11,116,106
LU100075,P.C. Rossin College of Engineering,Bioengineering,Senior,4.0,123,106
LU100076,College of Education,Special Education,Senior,3.24,112,96
LU100077,P.C. Rossin College of Engineering,Chemical Engineering,Sophomore,3.23,49,48
LU100078,College of Education,Elementary Education,Junior,3.4,90,79
LU100079,College of Health,Community Health,Sophomore,3.66,45,43
LU100080,P.C. Rossin College of Engineering,Civil Engineering,Senior,3.89,124,115
LU100081,College of Business,Business Analytics,Sophomore,3.52,56,53
LU100082,College of Education,Special Education,Sophomore,2.75,56,52
LU100083,College of Education,Secondary Education,Senior,2.59,125,122
LU100084,College of Health,Nursing,Senior,3.15,128,121
LU100085,College of Education,Secondary Education,Senior,3.38,111,98
LU100086,College of Arts and Sciences,Physics,Graduate,3.72,11,9
