Student_ID,College,Major,Class_Year,GPA,Credits_Attempted,Credits_Earned,Enrollment_Date,Study_Hours_Per_Week,Campus_Housing,Financial_Aid,Extracurriculars,Part_Time_Job,First_Generation,Distance_From_Home
LU100001,College of Business,Accounting,Senior,3.41,105,99,2021-01-24,14.2,Off-campus,No,3,Yes (18h),,19
LU100002,College of Education,Elementary Education,Junior,3.55,73,62,2022-09-07,19.9,Off-campus,No,2,No,No,363
LU100003,P.C. Rossin College of Engineering,Electrical Engineering,Junior,3.6,89,81,2022-08-09,24.8,On-campus,Yes,0,No,No,749
LU100004,College of Health,Nursing,Senior,3.44,102,98,2021-08-03,29.6,Off-campus,No,2,No,No,19
LU100005,P.C. Rossin College of Engineering,Computer Engineering,Sophomore,3.9,52,44,2023-01-28,15.3,On-campus,Yes,1,Yes (11h),No,68
LU100006,College of Health,Health Science,Sophomore,4.0,53,49,2023-09-24,18.2,On-campus,Yes,1,No,Yes,8
LU100007,College of Business,Management,Junior,4.0,74,69,2022-01-26,12.8,On-campus,Partial,3,Yes (25h),No,86
LU100008,College of Education,Secondary Education,Junior,4.0,74,63,2022-01-08,20.1,Off-campus,Yes,3,No,No,1283
LU100009,P.C. Rossin College of Engineering,Chemical Engineering,Graduate,3.97,21,18,2024-01-25,18.2,Off-campus,No,2,Yes (17h),No,40
LU100010,College of Arts and Sciences,Psychology,Sophomore,2.41,48,45,2023-09-24,16.0,On-campus,No,3,No,Yes,5
LU100011,College of Business,Business Analytics,Senior,3.11,116,105,2021-09-25,21.7,Commuter,Yes,2,No,No,185
LU100012,College of Education,Elementary Education,Senior,3.34,128,123,2021-09-11,28.9,Off-campus,Yes,1,No,Yes,41
LU100013,College of Business,Finance,Senior,3.54,104,91,2021-01-24,12.4,Off-campus,No,0,No,Yes,633
LU100014,College of Education,Special Education,Sophomore,2.72,57,51,2023-09-25,15.2,Off-campus,Yes,1,No,No,80
LU100015,College of Health,Public Health,Sophomore,3.21,50,48,2023-01-03,10.1,On-campus,Yes,0,No,No,272
LU100016,College of Health,Community Health,Sophomore,3.84,46,42,2023-08-22,22.9,Off-campus,Yes,3,No,Yes,154
