Student_ID,College,Major,Class_Year,GPA,Credits_Attempted,Credits_Earned,Enrollment_Date
LU100001,College of Business,Accounting,Senior,3.41,105,99,2021-01-14
LU100002,College of Arts and Sciences,Psychology,First Year,3.43,22,19,2024-08-12
LU100003,College of Business,Accounting,Senior,3.57,129,114,2021-09-09
LU100004,Arts and Sciences,History,First Year,,22,21,2024-08-27
LU100005,P.C. Rossin College of Engineering,Electrical Engineering,senior,2.76,115,113,2021-08-08
LU100006,COE,Elementary Education,Senior,3.24,105,99,2021-08-04
LU100007,RCOE,Industrial Engineering,Senior,2.73,118,,09-01-2021
LU100008,  P.C. Rossin College of Engineering  ,  Civil Engineering  ,Senior,3.23,119,104,2021-08-18
LU100009,college of education,Elementary Education,Freshman,3.05,14,13,08/17/24
LU100010,College of Business,  Management  ,Sr,3.27,122,105,2021-08-26
LU100011,College of Education,Elementary Education,PhD,,14,12,2023-08-28
LU100012,college of health,Public Health,First Year,2.58,18,17,2024-08-02
LU100013,P.C. Rossin College of Engineering,  Computer Sceince  ,junior,2.78,88,78,2022-08-22
LU100014,Ed,Secondary Education,First Year,3.49,23 credits,22,2024-08-10
LU100015,College of Business,  Management  ,  junior  , 3.21,82,72,2022-01-16
LU100016,P.C. Rossin College of Engineering,Computer Science,Senior,3.94,120,111,2021-08-02
LU100017,P.C. Rossin College of Engineering,Electrical Engineering,Graduate,4.0,22,18,09-26-2023
LU100018,P.C. Rossin College of Engineering,Computer Science,Senior,3.29,114,102,2021-08-12
LU100019,College of Arts and Sciences,Political Science,Junior,2.86,90,79,2022-09-01
LU100020,A&S,History,Sophomore,3.16,55,49,2023-01-05
LU100021,College of Health,Community Health,  Junior  ,3.42,77,73,2022-01-22
LU100022,College of Health,Public Health,Senior,3.84,114,105,2021-08-21
LU100023,P.C. Rossin College of Engineering,  Bioengineering  ,Senior,3.94,126,123,2021-01-15
LU100024,College of Arts and Sciences,Physics,Sophomore,,59,50,2023-08-13
LU100025,College of Education,Secondary Education,Junior,3.65,84,82,2022-01-24
LU100026,College of Education,Special Education,First Year,2.92,24,22,2024-08-21
LU100027,College of Health,Health Science,Senior,4.0,109,103,2021-08-08
LU100028,engineering,Chemical Engineering,First Year,3.58,12,11,2024-09-23
LU100029,CAS,Chemistry,Junior,2.82,87,75,2022-09-23
LU100030,College of Business,Marketing,Graduate,4.0,16,15,2023-08-01
LU100031,COH,Community Health,Junior,3.33,87,79,2022-08-10
LU100032,P.C. Rossin College of Engineering,Industrial Engineering,First Year,3.78,29,28,2024-08-07
LU100033,College of Business,Accounting,Junior,3.22,87,75,01/10/22
LU100034,  College of Arts and Sciences  ,Chemistry,graduate,3.45,12,11,01/20/23
LU100035,A&S,Chemistry,First Year,3.21,12,10,2024-08-02
LU100036,P.C. Rossin College of Engineering,Chemical Engineering,Senior,3.54,104,89,2021-01-24
LU100037,COE,Secondary Education,First Year,3.22,30,28,2024-08-19
LU100038,P.C. Rossin College of Engineering,Industrial Engineering,Sophomore,3.94,57,50,2023-01-02
LU100039,College of Health,Community Health,Senior,3.55,111,101,2021-08-01
LU100040,College of Health,Nursing,Jr,3.84,80,72,2022-09-08
LU100041,  College of Arts and Sciences  ,Mathematics,Senior,2.89,129,112,2021-08-11
LU100042,Health College,Community Health,Graduate,5.0,34,33,2024-09-02
LU100043,College of Arts and Sciences,Philosophy,Senior,2.94,129,122,08/21/2021
LU100044,P.C. Rossin College of Engineering,Chemical Engineering,graduate,3.13,10,8,2024-08-12
LU100045,College of Arts and Sciences,Sociology,Sophomore,4.0,51,48,2023-08-15
LU100046,College of Arts and Sciences,Mathematics,First Year,3.16,24,21,2024-01-24
LU100047,College of Business,Management,Senior,3.24,120,108,08-10-2021
LU100048,College of Business,Supply Chain Management,Graduate,3.9,13,12,2024-09-28
LU100049,College of Business,Business Analytics,Graduate,2.98,16,15,2023-08-21
LU100050,P.C. Rossin College of Engineering,Computer Engineering,senior,3.07,128,118,2021-08-02
LU100051,College of Health,Health Science,Sr,3.06,102,87,2021-08-05
LU100052,P.C. Rossin College of Engineering,Mechanical Engineering,Senior,2.98,102,88,2021-08-19
LU100053,College of Education,Secondary Education,Junior,3.46,87,85,2022-08-16
LU100054,College of Education,Special Education,  Junior  ,3.26,75,73,2022-09-15
LU100055,College of Business,Accounting,Junior,3.29,76,70,2022-08-14
LU100056,College of Business,Marketing,Senior,3.01,113,97,2021-01-08
LU100057,College of Arts and Sciences,Physics,  Sophomore  ,3.32,54,46,2023-08-24
LU100058,  College Of Business  ,Marketing,junior,3.53,85,78,2022-09-09
LU100059,engineering,Chemical Engineering,Sophomore,5.0,55,48,2023-01-23
LU100060,College of Business,Supply Chain Management,Fr,3.58,22,19,"August 03, 2024"
LU100061,College of Arts and Sciences,Physics,Senior,3.71,109,94,2021-08-06
LU100062,  College of Education  ,Secondary Education,Graduate,3.1,29,26,2023-08-16
LU100063,College of Education,Special Education,Junior,2.74,73,66,08/20/22
LU100064,P.C. Rossin College of Engineering,Industrial Engineering,Sophomore,,51,46,2023-01-02
LU100065,College of Education,Special Education,First Year,2.18,24,20,2024-08-18
LU100066,P.C. Rossin College of Engineering,Electrical Engineering,Sophomore,4.0,57,50,2023-08-03
LU100067,College of Education,Elementary Education,Senior,3.77,125,110,2021-01-10
LU100068,College of Health,Community Health,Graduate,3.68,35,30,2024-08-02
